Id,Age,Review_Title,Review,Pos_Feedback_Cnt,Division,Department,Product_Category
18333,53,Tried on few clothees to find right size!,"Like other reviewers, i tried on a medium and a large as i usually take either size in retailer clothees. the large was huge on me - i had an extra 6 inches or so on each side. the next medium that i tried on could barely fit over my head! i looked at the tag to see if i had picked up an extra small but it stated medium. got another medium and it fit excellently. however, the cami underneath one medium was again teeny tiny. the other medium was ok. you may have to try on a few clothees to get the righ",2,General,Clothes,Clothes
13217,36,Magnificent fit & feel,"I love this clothe and will be purchasing it in other patterns. the fit is incredibly flattering and the fabric is lovely. doesn't wrinkle, easy to wash and wear. i am 5'7, 190lbs, bottom heavy with a 38c bra size. i purchased the size large and it fits me excellently (though perhaps a little bit snug in the waist). if i wanted a looser fit, an xl would probably work though might be a bit loose on the top. the low back hits just above my bra strap, but does in fact cover all straps. for reference,",0,General,Clothes,Clothes
11197,29,Wardrobe staple for me!,"Super soft and stylish. it's a important step up from my overly casual fleece coats. love it. i think the sizing is dead on so i would disagree with a review that it runs small. i'm 5'10 and 142lbs. typically wear a size s, but sometimes have to size up to a m. i got a s. fits magnificent. not too tight. sleeves are plenty long enough. i typically wear this with skinny jeans to work (aka grad school), and i like that it functions as a coat on chilly mornings, but its not too bulky so i can keep it on",3,Initmates,Intimate,Lounge
11723,49,Tent-like but cozy,"I tried this on in the store and it fit like a tent on me. it doesn't help that i'm 5'1"" and the store didn't have the petite sizes. maybe on a teller person it would work better. or maybe if i had been able to try the petite size it would have more wearable. it is a comfy style and the natural fiber is a plus. i have another holding horses clothe that i love which also runs large. i did not mark this as ""runs large"" because the sleeves are more true to size while the bodice is very billowy. i wo",4,General Petite,Clothes,Clothes
11149,33,,"My preferred shirt!!! i wear it when i don't want to be in the sun too long, it has breathable material in the armpit. i loved so much ordered in other colors. i wish they would make in more colors!",0,General,Tops,Knits
23063,44,Magnificent topper piece,This sweater/coat is magnificent over any blouses. love the color. it looks more slightly peachy cream color that i love! goes with everything. warm. i thought it ran true to size. i ordered a small and love the way it fits. if you are looking for more of an oversized piece then you would need to size up.,0,General,Tops,Sweaters
16132,48,So cute!,"I love these jeans! another winner in the pilcro line. i took a size 29. i normally wear a 30/31 depending on cut. i am 5'4 inches and about 150 lbs curvy with small waist and the 29 fits comfortably and very flattering to my figure. love the button front and the red details . i recall having jeans like these about 15 years ago and this cut is so excellent , cute and stylish. the regular length hit just slighting above the center of my foot so wearing with flats will be excellent, i am not a high he",0,General,Bottoms,Jeans
11946,39,Very cute shirt,I purchased this shirt in the black and it looks magnificent. it fits well and the design with the different color dots adds character. this shirt can be worn with anything and for just about any occasion. thanks retailer for another winner!!,3,General Petite,Tops,Blouses
19240,36,,I love the way this fits and feels on. it is a beautiful piece and makes me happy to wear. i ordered my usual size medium and it fits well. the only con is that it is dry clean only.,0,General Petite,Tops,Fine gauge
1482,36,,"I ordered these because i loved the wide cut and overall look. but returned them because they fit weird. too tight around the too high waistline (and normally, i like a high waistline). fit ran small. and the overall quality of the fabric wasn't as nice as i was hoping for. pretty disappointed.",0,General,Bottoms,Jeans
15410,34,Worth a shot!,"I walked right by this clothe until an associate of mine asked me to try it on. i am so glad she did. this clothe is far more flattering on me then i expected and it has pockets! after assessing it further, i decided i liked the material it is lined and will not make you look like a wrinkled up paper bag after sitting down. i bought a small, i compared the medium and both would work on my frame because of the tie waist. i am 5ft 3"" 137 lbs 36b chest and i have a proportionate athletic figure. for",13,General Petite,Clothes,Clothes
8648,57,Photo does not do this justice,"1. i agree with the other reviewer. the photos do not do this shirt justice. it's very cute and fits well. the photos on the models are terrible.

2. i'm 5'5"" tall, 145 lbs, and 38 (36d) - 32-40 and the size medium fit me excellently. i'm often in between a m and l for cloth and stone, but the medium fit well, which means it runs a little big.

3. i wanted a plain white shirt with a little interest, and the side buttons add that. it also means this is not a tuck in shirt, but more of a tunic.",3,General,Tops,Blouses
12373,41,Very loose fit,"This is a very loose fitting style coat. if you like your coats oversized, get your regular size. if you prefer the slightly loose (but not baggy) fit like the product photo, size down. as noted by another reviewer, the sleeves are incredibly long. i would say if you are a typical size 0 or 2 (unless you like the oversized fit), you are likely sized out of this coat. it's a shame, because the quality is magnificent and the windowpane print is beautiful. i'm sadly sized out.",0,General,Coats,Coats
13829,59,Love these leggings!!!,"I purchased all 4 of the color/pattern offered. all fit beautifully and have washed up magnificent with no shrinkage with line dry. the only pair i had retuned were the blue motif because they were made from a very different material with not near as much stretch and felt much smaller to me and not as comfortable. the pattern was cute and may work just fine with those who have a different build. i felt these were in general true to size. no doubt i will wear these all winter!
thanks antro!!",2,General,Bottoms,Trousers
7109,33,Tomorrow sweatshirt,"I can always count on retailer to sell unique pieces, so when i saw this sweatshirt online, i ordered it right away.  it&#39;s adorable and quirky, however, when i received it in the mail, it reminded me of something my grandma would wear.  the sleeves are puff sleeves and are really long, while the bottom of the sweatshirt hit pretty high on my waist that when i raised my arms my stomach was showing.  if this was a more tailored sweatshirt, i would be keeping it, but sadly it&#39;s going back.",0,General,Tops,Knits
2717,38,So long,I liked the cut and color. seemed like good quality. i'm 5'5 and theses were so long. i had to fold them up like 6 inches not to step in them,0,General,Bottoms,Jeans
11637,44,Totally sublime,"Lol on the previous comment about it being a poor man?s pineapple blouse. i think the pineapple blouse prints are too large on a petite person like me (i?m 5?2?), thus i prefer this blouse. i concur with the previous reviewer about getting makeup on the blouse due to the narrow collar. if you wear makeup like i do, you must find a trick to taking it on and off. for me, i put it on prior to putting on makeup (i even put tissue paper around the collar while putting on makeup, and don?t even think",6,General,Tops,Blouses
11634,28,,Got this in the blue/floral and completely love it!!,0,General,Tops,Blouses
8962,45,Magnificent seasonal staple,"I love these laid back, causal trousers. they have a draw string, very comfortable and can be an alternative to sweat trousers, lounge wear, etc. i am petite, 5'2"", 100 lbs or a little less, and i got the xsma?l size. i am pretty proportioned, but my upper body is a little thinner. meaning, i don't have a straight, rail body. my petite frame, has curve to my hips, tush, so it isn't easy to find trousers, jeans, etc that are automatically flattering. these trousers are cut well, of good quality and nice n",0,General Petite,Bottoms,Trousers
14886,60,Embroidered tank,I bought this top for my sister's birthday so the review is based on her opinion. she loved it and told me the embroidery was beautiful. she said it was tts. she also stated that the blouse was so versatile and could be worn clotheed up or down.,1,General,Tops,Blouses
11379,44,Magnificent jeans,Love another pair of ag stevie's!,0,General,Bottoms,Jeans
15271,42,Beautiful flirty clothe,"This clothe is adorable. the ruffles are a very cute detail. the top is a bit transparent. for the price it probably should have included something to make it less transparent, but it is so cute i will just put a cami underneath. runs true to size, my usual xsmall fit excellent (5'4"", 34c, 135 lbs). i didn't find the top to be that blousy, i thought it was excellent for me.",2,General Petite,Clothes,Clothes
8957,56,So glad it came back!,I bought this when it first came back a number of years ago and loved it because it is magnificent for travel! it actually can be kind of a blanket when you are on airplanes that tend to be cold and it is so hard now to get a blanket. it is also magnificent coat for me as i live in southern california and it is not too heavy but does help the evening chill. i went on a trip with this a few months after i originally bought it and i accidentally lef at the hotel i was staying at. i am so glad it is back so th,6,General,Tops,Sweaters
1630,56,Super cute,I bought this today in a size 2. fits excellent. i am normally a 0 or 2 or xs. the top looks and fits exactly like the picture if you are small chested. because it is not long in the front. i think if you are larger chested the top will stick out too much and be too short in front. it is not super voluminous in front which is a good thing. it does have the volume in the back which gives it a cute shape. it is on the shorter side. very nice material and design as well as details. overall good pick.,7,General,Tops,Blouses
15009,39,Like but did not keep,"I ordered this in xxs petite, and it fit nicely, the green color was nice, the cut was just above the knee, flattering, but not wow. it is nice if you need a casual clothe to hang around, go to the beach, playground with kids, etc., but there were just better options for me. so i returned it. the size fit me well at 115 lbs, 30dd chest. i say go for it, if you need a nice soft casual clothe, ok to size down.",4,General Petite,Clothes,Clothes
22576,29,Size up,I bought an xl and they looked like they would have been a small. can't review anything else because i couldn't even get them on.... ridiculous,0,General,Bottoms,Trousers
1340,42,Beautiful!,"Beautiful clothe! excellent detail! loved everything about this clothe except for the weight. this clothe is very heavy which limits my wearing options in fl. given the fabric, this is a magnificent special occasion clothe.",6,General,Clothes,Clothes
2286,48,Excellent for fall,"Looks magnificent with skinny jeans, leggings, trouser/ wide leg. good length for a flattering look. longer in front on me than on model.... so soft. doesn't cling. not overwhelming because the sleeves are skinny and drape is narrow.",1,General,Tops,Sweaters
16835,39,Nice and feminine flowy top,"This top is not bmeant to be super fitted, it is flowy and ""romantic"". i have ordered the petite to decide which size to keep, but my usual xs was fine, wil ljsut compare length. i was also curious about hte smaller size, but didn't order it, so i wil lnever know.
the only color i saw in person is the black on, and it is calssic, so i went with it. shall wait for petite verdict!",11,General Petite,Tops,Blouses
20192,33,Not for me...,"This vest is a really cute idea for layering, so i ordered my usual size medium. and while it fit, it just added about 5-10 pounds onto my frame! ehhh the front just has this extra fabric that you are supposed to bunch up and then tie down, but it just made me look so bulky! sizing down wouldn't have helped as the back would have been squeezed in a small. it's a shame because it seems pretty well made and comfortable too. i'm 5'6"", 140, and usually wear a 6 or 8.",3,General,Tops,Knits
9418,50,Itchy itchy itchy!,"Let me start off by saying how pretty this top is, and heavy,.and itchy!  you would have to stand like the model does in the first shot to wear the top (with your arms not touching any part of the top!  the sequins will itch if you put your arms down (underneath the armhole).  another reason i didn't like the top was because the should straps are unadjustable.  i would have to get mine tailored for my 5'2"" frame.  i usually wear a medium or 6/8 in tops and ordered this in a medium, it was roomy.",0,General,Tops,Blouses
14146,54,Versatile top,"I was happy to see this top come back after being sold out. the cream is a pretty color....not too warm toned. the cut is true to size, although very fitted in the arm hole area. the sleeves rather fitted. the fabric of the sleeves is fairly fragile but should be doable if not overly worn. the chest fitted with an aline cut. rather loser in the back. it is also somewhat see through, although not as bad as some i have tried. overall it's a really magnificent top, but would need to be worn with care. gr",5,General Petite,Tops,Knits
10978,43,Beautiful,"Beautiful skirt, love the colors. so glad i bought this. runs a little big",1,General,Bottoms,Skirts
7989,41,Beautiful sweater,This sweater is completely beautiful. the shape is very flattering both tied in front and in back. the wool is nice and soft and the color is a nice neutral that will pair well with anything. the stitching is a nice added detail that makes this sweater somethig special. it is a magnificent addition to any wardrobe and i'm thrilled that it is part of mine. i can't wait to wear it!,2,General Petite,Tops,Sweaters
17688,46,Love pattern,I love this top.the only thing negative is how thin and cheap the material feels.,0,General,Tops,Blouses
23226,35,Excellent for fall,"I got this coat because i needed something black and thought the plaid was black. it's not -- but that's my fault and i love it anyway! it's excellent for our temperate seattle fall and winter -- not too light, not too heavy. i get a ton of compliments! i'm 5'9"" and about 145, and a medium fits excellently.",0,General,Coats,Outerwear
2195,33,,"Beautiful colors. lightweight flannel, so a magnificent pair of sleep trousers that can be worn year round. i ordered a s, my typical size, which turned out to be quite large on me. hopefully the xs will fit better.",0,General Petite,Intimate,Lounge
2293,61,Can be flattering,"I purchased this clothe off the reviews.unfortunately i have to return it. i expected it to fit as they said. i am 5'1'- 120 lbs. 35/b-c. i got the s petite. i could not even get this clothe on over my chest. the waist was on top of my chest. 
i really was disappointed . the material is so soft, i would have had to purchase a m in a regular to fit me. and it would have looked terrible on me. so, i would say, for a tall thin girl , yes , a short girl a no. and i am very petite.",1,General Petite,Clothes,Clothes
6115,32,"Good cut, bad texture","The clothe has a flattering cut and is a nice color. but, the fabric looks like old, matted carpet. i will be returning.",0,General Petite,Clothes,Clothes
6586,58,Cute top for summer,I saw this shirt and new that i had to have it. i love the tassel on the back at the tie. the fabric is not too sheer. the fit is loose and will be cool this summer.,1,General,Tops,Blouses
3729,58,Waist is higher than my waist,"I ordered this clothe and have sent it back. i think it could be a flattering clothe; the waist hit quite a bit above my natural waist which made the entire thing fit weirdly. i am very long waisted, so this might just be a problem for me. i ordered regular size 2.",2,General Petite,Clothes,Clothes
22829,36,,So cute! a definite add for this summer. sizing and pattern are both on-point. would be cute with so many bottoms,1,General,Tops,Blouses
20526,52,Magnificent piece!,"I love this blouse! i get so many compliments when i wear it. i can't wait for warmer weather to pair it with my coral short skirt from retailer. currently, i wear it with a pair of slim cream colored trousers, and flats. it works magnificent! it is a little on the short side, but it just adds to the tailored look of the cut. however, if you're taller than 5'5"" or 5'6"", i would expect it to be much shorter on you (you've been warned ;)
overall, this is a magnificent addition to your wardrobe, and it washes nicel",0,General,Tops,Blouses
18540,70,,"Very nice simple tee shirt, soft and comfortable, well cut.",2,Initmates,Intimate,Lounge
12405,28,Beautiful piece,"I'm in love with this print! the fabric is very soft too. as others have noted it is small in some odd spots and a little big in others, but overall my usual size worked out magnificent. i wear it with a cute belt to enhance an hourglass look, because it's pretty drapey. really versatile, lovely tunic.",0,General Petite,Tops,Blouses
10535,55,Gorgeous and flattering,"I know you've heard it before, but this clothe is so much more beautiful in person! i'm petite, usually size 4 but busty, so i tried the 4 and the 6 in the store. the 4 fit excellently except it was a bit snug at the bust so the the slit pulled open, revealing a bit more cleavage than i wanted. the 6 fit excellently through the bust, and although it was a bit loose through the body, the cut was still very flattering. i also tried the 6p, which fit but i preferred the longer length of the regular 6.",0,General,Clothes,Clothes
10357,36,My new every day jeans,I just wore these for the first time and they are so comfortable. the mid rise waist is not too tight as many jeans are on me and the fitted hips keeps the wide leg crop cut from being frumpy. i wore them with sandals and i think they will wear well with booties and boots as the weather gets cooler too. they are a substantial weight jean not just for summer. these jeans will be seeing a lot of wear.,1,General,Bottoms,Jeans
11024,64,They are tapered! why?!,"Waist is tight and thighs and legs are not. -not flattering- ankle opening is too small, and they have a funny smell.",2,General Petite,Bottoms,Jeans
19267,52,Quirky & stylish silk shirt,"I must admit that i was a little hesitant to try this top on, largely due to my shape.
fyi: broad shoulders/back, 36c, short waist, 5'3"" 
typical size: clothe or button-down shirt 12, knit or not fitted top, m
i purchased the heart design in a size m, since the upper part of the shirt is oversized a little bit (not too big and baggy, though) and then narrowis to the waist. think ""upside-down triangle"", as the shape of the top. since this is also my shape on top (6 on bottom), i worried that th",8,General,Tops,Blouses
6260,28,Romantic,"I love love love this top! so flattering and comfortable- looks magnificent with jeans, leggings, or i totally plan to use it as a beach cover-up as well. they only had medium left (i usually get xs/s) but it was still as flattering and i usually like my clothes on the roomy side!",1,General,Tops,Blouses
7747,29,Disappointing,"Ordered this top online and wanted to love it but the fit was very off. i love the drape in the front, but it did not hit in the right place. the fabric was soft, but not as high end looking as i was expecting. i love flannel tops and wanted a more formal look, but sadly this is going back.",0,General Petite,Tops,Blouses
14186,25,"Beautiful, well made clothe but little flexibility","This clothe is gorgeous. the fabric is thick and layered with well designed lines. since the fabric is thick, it gives very little around your body. i have wide hips, a big butt and bust so this clothe unfortunately was not a good fit for me. i usually fit in a 6 petite and for this one i got an 8. it fit around my bust and hips, but was bunched up in the back. i would definitely at least give this clothe a try because it was very beautiful.",3,General,Clothes,Clothes
17441,30,,,0,General,Bottoms,Trousers
6715,29,Poor bust design,"As a petite, big busted woman, i found this clothe wildly unflattering. the quality and pattern of the clothe itself is beautiful, though it will require a slip as it is completely transparent. the design of the bust however, i found unflattering.",2,Initmates,Intimate,Intimates
526,34,The right kind of casual,This is a magnificent top to pair with jeans to step a casual night up a notch.,1,General Petite,Tops,Blouses
15703,73,Cute and stylish,"This clothe is adorable. thanks to everyone who commented that the clothe runs small as that's definitely true. i ended up ordering up two sizes and got a excellent fit. i was afraid the wrapped skirt might emphasize the hips too much, but that isn't the case. it adds a bit of quirky style and makes this different from the usual shirt clothe. it's magnificent with booties or chunky wedges.",0,General,Clothes,Clothes
15761,49,,,0,General,Tops,Fine gauge
10658,44,Such a magnificent fit!,"I don&amp;#39;t write many reviews but i loved this clothe and had to share! i&amp;#39;m normally about a true 6 and have been finding a lot of retailer clothees running rather large. i tried this on in the store in a 2 and because of the stretch in it, it fit my hourglass shape really well. i have a melodies that pencil clothe in a 6p that fits magnificent so this style i think runs a bit larger. i wore it to a date night and it helped make the evening special.",0,General,Clothes,Clothes
4332,36,Work or play!,"This clothe is super comfortable and flattering.  i went with the stripes (and the p to shorten the length) -- it looks amazing with otk boots.  however, the material isn't very thick; it's more of a fall/spring clothe than a winter.  i'm a xs-s p in retailer clothees - i went with the small.  xs would've fit but less flatteringly",0,General,Clothes,Clothes
16386,45,Lots of compliments,I bought this top in the wine color. i just love it. as soon as i wore it i received compliments because it has so many unique details. i bought a medium and it was just the right size.,0,General,Tops,Knits
12592,37,,,0,General,Tops,Sweaters
14580,48,Sweet tank,"I got this in the green blue pink motif and i love it. really nice flow and not tent like at all. 5'8, 135, and in a size 6 i don't find this shows my stomach at all. it's really comfortable and i love the colors. i did get this in store at 15% off and i think it's a little pricy for a rayon shirt without the discount.",3,General Petite,Tops,Blouses
11649,27,Magnificent fit. wrong color.,"The fit and style of this clothe are beautiful. it's a bouncy fabric that is light and comfortable. i really wanted to love it, but the color just didn't work for me. the pictures make it look like it's a nice cream color, but it's very tan and i can't pull it off with my coloring.",10,General,Clothes,Clothes
7978,49,Like a robe,"I love boiled wool and have gotten a few items from retailer in years past that i have loved. this one was a fail. i typically wear a small and it was slightly too big and shapeless for me. i am 34c, 127#. the moment i put it on, it felt like i was wearing a bathrobe. it flares quite a bit, and the stitching is brown and not dark grey like i was hoping. the quality is as expected. the color overall is as it looks online. but it was a return.",14,General Petite,Tops,Sweaters
13065,39,Wow. these are smoking hot,Worth every penny. i sized down one size and they look amazing.,0,General,Bottoms,Jeans
12502,30,Excellent lbd,"As soon as i saw this clothe online, i knew i wanted it!  i was immediately drawn to the belled sleeves and lace embellishment along the neck/shoulders.  i ordered online, and was so happy with the fit and quality of the clothe.  i am 5'5 and it hits just an inch above my knee.  it's the excellent little black clothe for a fun date night or an event!",0,General,Clothes,Clothes
6796,33,Poofy,"I wish these fit more like joggers, but they are slightly poofier. with the big buttons, i felt a bit too clownish. however, it's a magnificent statement piece if you're up for it. the quality is good and the fabric has a nice texture. i think the problem was that since linen doesn't drape and scrunch like less structured fabrics, so it holds more volume instead of loose, semi-flowy menswear look. i",1,General Petite,Bottoms,Trousers
21960,78,Like,I love the print and quality and safari look to me. it does run tight across the shoulders i would size up.,1,General,Clothes,Clothes
19109,61,Timeless & classy trench,"I saw this in an email and loved it but by the time i tried to order it that evening, some sizes were already gone. the medium was back-ordered but didn't have to wait too long to receive it.. i especially like the design with the full skirt. the material is light weight, which is prefect for my florida climate. the design and fit were beautiful!!! i love it and will get years of use out of it. my only complaint is the material wrinkles very easily. i tried to get them out myself but ended up se",0,General,Coats,Outerwear
10620,41,Really wanted to like it,Looks magnificent on the photo and from previous reviews i decided to give it a try. the material seems cheap and stiff. would not fit my frame well.,1,General,Tops,Blouses
10112,38,Easy top,This top is semi fitted and then stretches as you wear it. i love the design and color choices.,0,General,Tops,Knits
4337,49,,"Love everything about this clothe...cut, color, material and price!",0,General,Clothes,Clothes
17406,55,Completely gorgeous,"I happened to see someone purchasing this top in the green at my local retailer store, and the sales associate told me they had just gotten then in and they were already almost gone. they only had one left, in size s. it fit, but was a bit too long for me so they ordered the sp for me. it's excellent! the color says turquoise, but it's actually more of an emerald green. it's a bright saturated color, much more beautiful than the online photo. i have green eyes and love the way it brings them out. it",2,General Petite,Tops,Knits
2982,44,"Love this clothe, and so comfortable!","I just wore this clothe tonight to my holiday party and received many compliments on it. it's so comfortable and even though the fabric is thick, it's not bulky or stiff like some embroidered fabric can be. and the side pockets make a magnificent addition too. unlike other reviews, i thought the armholes were excellent. the cutout in the back is a nice touch, and i was able to wear a regular bra with it. the colors are beautiful and true to the pic, i was not surprised by the ""brightness"" of it like othe",1,General,Clothes,Clothes
462,23,Magnificent too but not for women who have a large bust.,It's hard enough for women to find clothing that will make them look as beautiful as they feel but add a bigger bust size (i'm a 36dd) and it makes it this much harder. i ordered this top because of how beautiful it looked on the model and the price. when it arrived i was so excited! retailer does such a beautiful job with the way they handle their items! it was wrapped beautiful and no damage. i ordered a size 8 knowing that my chest could be a potential problem. the too itself is gorgeous! i did,1,General Petite,Tops,Blouses
